3100005,Leclerc
3100008,Intermarché
3700004,Leclerc
3700002,Total
3500003,Total
3120004,Total Access
3800005,Total
3400001,Total Access
3150001,Total
3410007,Esso Express
3800004,Total
3630003,Total Access
3110001,Total
3000004,Total
3200003,Total
3260001,Ecomarché
3410001,Auchan
3000003,Leclerc
3300001,Carrefour Market
3800003,Simply Market
3390003,Carrefour Market
3800006,Intermarché
3270001,Carrefour Market
3120001,Agip
3120003,Intermarché
3120002,Carrefour Market
3630004,Carrefour Market
3430001,Carrefour Market
3380002,Intermarché Contact
3410004,Agip
3210001,Intermarché Contact
3290002,Système U
3380001,Total
3400003,Avia
3100009,ENI FRANCE
3100010,Intermarché
3360001,Intermarché
3310002,Intermarché
3110003,Avia
3290003,Esso
3350002,Carrefour Contact
3500006,Total Access
3450001,Indépendant sans enseigne
3500002,Carrefour Market
3120005,Indépendant sans enseigne
3100006,Avia
3170001,Avia
3300002,Total
3600003,Intermarché
3200002,Total
3250002,Intermarché
3130002,Dyneff
3290001,Atac
3500004,Avia
3150006,Avia
4200003,Intermarché
4210004,GARCIN FRERES
4130004,Total
4130005,Total
4000001,Carrefour
4700002,Intermarché
4204001,Système U
4100002,Auchan
4190001,Intermarché
4160003,Casino
4100007,Leclerc
4103001,Système U
4100010,Total
4100011,Total Access
4160004,Total Access
4200008,Total
4800001,Total
4400003,Indépendant sans enseigne
4400004,Indépendant sans enseigne
4240002,Intermarché
4300001,Casino
4700004,Total
4120003,Casino
4100001,Système U
4000003,Esso Express
4120002,Huit à 8
4330004,Avia
4510003,Avia
4210005,Carrefour Express
4200007,NEANT
4000004,Intermarché
4400002,Total
4120004,Avia
4360001,Elan
4370001,Total
4300002,Intermarché
4700003,Carrefour Market
4500001,Avia
4500003,Intermarché
4320001,Avia
4170003,Système U
4160002,Total
4140001,Intermarché
4100009,GARCIN FRERES
4170002,Elan
4260002,Indépendant sans enseigne
5000001,Géant
5000017,Total
5000018,Total
5120003,Leclerc
5220001,Leclerc
5100008,Total Access
5230007,Total Access
5300001,Total
5100004,Carrefour Market
5500001,Intermarché
5000010,Esso Express
5700002,Indépendant sans enseigne
5240001,total contact
5300002,Casino
5000006,Leclerc
5400003,Elan
5120002,Carrefour Contact
5300004,Indépendant sans enseigne
5200004,Intermarché
5200001,Système U
5230003,Intermarché
5700001,Système U
5130002,Intermarché
5000005,Auchan
5400002,Système U
5200007,Avia
5230004,Elan
5600005,Intermarché
5560001,Intermarché
5600004,Intermarché
5600002,Intermarché
5160001,Système U
5600006,Carrefour Market
5350001,Elan
5300003,Intermarché
5000008,Intermarché
5260001,Total
5190001,Casino
6200031,Dyneff
6430001,Indépendant sans enseigne
6600001,Carrefour
6340002,Intermarché
6201002,Leclerc
6600008,Esso Express
6600010,Esso Express
6600009,Esso Express
6220006,Leclerc
6200014,Esso Express
6250001,Carrefour Market
6270003,Intermarché
6250009,Total
6110006,Leclerc
6110005,Casino
6250006,Shell
6201001,Carrefour
6150007,Leclerc
6650001,Casino
6230003,Total
6300016,Total
6500008,Total
6530004,Total
6600023,Total
6800006,Agip
6130008,Esso Express
6230002,Esso Express
6300008,Esso Express
6400004,Esso Express
6200029,BP
6000026,Total
6000027,Total
6000029,Total Access
6110009,Total Access
6140004,Total
6150008,Total Access
6190008,Total Access
6200026,Total Access
6200027,Total Access
6220005,Total
6250010,Total Access
6300017,Total
6300018,Total Access
6310002,Total
6320005,Total
6320006,Total
6400010,Total
6600022,Total
6600024,Total Access
6670007,Total Access
6700006,Total
6770002,Total Access
6800017,Total
6800018,Total
6800019,Total Access
6800020,Total Access
6530002,Intermarché
6600014,Casino
6345001,Auchan
6110008,independant
6270001,Géant
6600013,Casino
6480002,Leclerc
6000009,Shell
6500005,Intermarché
6410003,Avia
6110004,Esso Express
6140005,Carrefour Contact
6211001,Géant
6130006,BP
6130009,BP
6400001,Total
6560001,Carrefour Market
6260002,Carrefour Market
6600012,Elan
6330003,Total
6260001,Total
6240004,SEAM
6420001,Indépendant sans enseigne
6330002,Intermarché
6510003,Intermarché
6500004,Intermarché
6320003,Esso
6510001,Total
6340001,Indépendant sans enseigne
6200006,BP
6650002,Indépendant sans enseigne
6700003,Avia
6520001,Esso Express
6450002,Indépendant sans enseigne
6296001,Indépendant sans enseigne
6156001,Carrefour Market
6370001,Casino
6210009,BP
6190004,Esso
6220003,Intermarché
6000032,BP
6000007,Avia
6130007,Leclerc
6130001,Auchan
6360001,Avia
6150005,Intermarché
6700002,Avia
6400005,Avia
6580001,Système U
6540002,ENI
6110002,Avia
6750002,GIRARDIN
6150004,Casino
6320004,Indépendant sans enseigne
6640001,Esso
6670008,Avia
6600007,Avia
6530003,Carrefour Contact
6550002,Intermarché
6700005,Indépendant sans enseigne
6550001,Agip
6300012,Indépendant sans enseigne
6650003,Avia
7290000,Indépendant sans enseigne
7100002,Système U
7200006,Leclerc
7340002,Leclerc
7430001,Géant
7210001,Système U
7400002,Intermarché
7260001,Carrefour Market
7140001,Carrefour Market
7000003,AGIP
7380002,Intermarché
7700002,Intermarché
7200010,Carrefour Market
7230001,Netto
7100007,Intermarché
7130004,Total
7260002,Intermarché
7200008,Total Access
7300006,Total
7330001,Total
7300007,Avia
7120001,Système U
7300005,Leclerc
7140002,Système U
7200005,Casino
7800003,Intermarché
7380001,Elan
7200007,Intermarché
7150003,Intermarché
7300001,Carrefour Market
7500002,Intermarché
7430002,Carrefour Market
7300003,Intermarché
7240002,Intermarché
7250001,Total
7500001,Auchan
7170002,Agip
7270001,Système U
7200009,Elan
7130002,Avia
7120004,Elan
7000002,Intermarché
7100006,Indépendant sans enseigne
7170003,Intermarché
7400003,Total
7170001,Total
7250004,Avia
7200003,Avia
7150001,Elan
7110004,Carrefour Contact
7580002,Avia
7190001,Carrefour Contact
7800001,Total
7340001,Total
7160003,Intermarché
7160001,Système U
7470001,Indépendant sans enseigne
8600003,Intermarché
8090001,Esso Express
8200004,Esso Express
8320003,FIOUL SERVICE
8210001,Esso
8320002,Intermarché
8170001,Carrefour Market
8300006,Intermarché
8270002,Total
8300001,Carrefour
8110001,Carrefour Market
8110002,Intermarché
8000001,Carrefour
8150002,Carrefour Contact
8260002,Intermarché Contact
8400002,Esso Express
8000005,Esso Express
8000010,Total
8200010,Total Access
8300008,Total Access
8400004,Carrefour Market
8150001,Carrefour Contact
8400003,Leclerc
8140002,Super Casino
8360003,Carrefour Contact
8200007,Intermarché
8800004,Carrefour Contact
8800001,Total
8200005,Leclerc
8300007,Intermarché
8120001,Intermarché
8700001,Carrefour Market
8000002,Supermarché Match
8000008,Intermarché
8000007,Intermarché
8000006,CORA
8230001,Carrefour Market
8500002,Intermarché
8190001,Total
8190003,Carrefour Contact
8350002,Carrefour Express
8330002,Carrefour Contact
8430001,Indépendant sans enseigne
8130003,Carrefour Contact
8310001,Total
8600002,Esso
9000006,Intermarché
9270003,Carrefour Contact
9110001,Intermarché Contact
9700001,Intermarché
9340001,Système U
9100001,Intermarché
9100006,Intermarché
9000004,Leclerc
9100004,Leclerc
9100002,Total
9190002,Intermarché
9190004,INTER CLUB
9200003,Indépendant sans enseigne
9300002,Système U
9500001,Total
9600002,Indépendant sans enseigne
9600003,Intermarché
9140001,Total
9200001,Carrefour Market
9210001,Carrefour Market
9400001,Système U
9100003,Total
9500002,Indépendant sans enseigne
9400002,Esso
9220001,Indépendant sans enseigne
9000003,Total
10180001,Intermarché
10100004,Leclerc
10150002,Intermarché
10400002,Carrefour Market
10430001,Intermarché
10200003,Carrefour Market
10600002,Carrefour
10260001,Total
10230002,Elan
10123001,Carrefour
10270006,Total
10270007,Total
10000006,Casino
10600001,Géant
10000005,Esso Express
10100003,Esso Express
10110001,Esso Express
10150001,Esso Express
10300002,Esso Express
10000018,Total
10000019,Total Access
10000020,Total Access
10300005,Total Access
10600009,Total Access
10200002,Leclerc
10170001,Intermarché
10500002,Intermarché
10190001,Maximarché
10500001,Total
10100002,Total
10100001,Carrefour Market
10120004,Système U
10800006,Carrefour Contact
10250001,Avia
10340001,Avia
10260003,Carrefour Contact
10800002,Intermarché
10110002,Intermarché
10350001,Intermarché
10130004,Intermarché
10210002,petrovex
10700003,Intermarché
10400003,Intermarché
10370001,Intermarché
10130002,Indépendant sans enseigne
10700002,Carrefour Market
10130001,Atac
10140001,Bi1
10200001,Total
10800003,Intermarché
10160001,Intermarché
10210001,Oil France
10230001,Maximarché
10200004,ESSO
10600005,Esso
10120001,Total
10700001,Total
11500001,Carrefour Market
11100002,Dyneff
11100003,Dyneff
11100004,ESSENCE
11200002,Dyneff
11290001,ROMPETROL
11290002,ROMPETROL
11400002,Dyneff
11430001,Dyneff
11110004,Intermarché
11200006,Intermarché
11200001,Carrefour Market
11110001,Système U
11000013,Intermarché
11500002,Total
11110005,Total
11110008,Leclerc
11120001,Intermarché
11100001,Géant
11101001,Carrefour
11130001,Intermarché
11370001,Carrefour Contact
11000003,Total
11100008,Esso Express
11210002,Système U
11100010,Esso Express
11100009,Esso Express
11540001,Total
11100013,Total Access
11200008,Total Access
11000014,Dyneff
11140001,Dyneff
11600005,Dyneff
11620001,Dyneff
11700001,Dyneff
11106001,Leclerc
11400005,Intermarché
11590003,Super Casino
11000005,Esso Express
