06701,Nice,7
07101,Lavilledieu,1
07102,Lamastre,1
07103,Lalevade-d'Ardèche,1
07104,Villeneuve-de-Berg,1
07105,Cruas,1
07106,Vallon-Pont-d'Arc,1
07107,Le Cheylard,1
07108,Viviers,1
07109,Chomérac,1
07110,Peaugres,1
07111,Saint-Julien-en-Saint-Alban,1
07112,Le Pouzin,1
07113,Les Vans,1
07114,Ruoms,1
07201,Bourg-Saint-Andéol,2
07202,La Voulte-sur-Rhône,2
07203,Charmes-sur-Rhône,2
07301,Privas,3
07401,Annonay,4
07402,Aubenas,4
08101,Donchery,1
08102,Monthermé,1
08103,Rocroi,1
08104,Vireux-Wallerand,1
08105,Carignan,1
08106,Vouziers,1
08201,Nouvion-sur-Meuse,2
08202,Fumay,2
08203,Bogny-sur-Meuse,2
08204,Revin,2
08205,Vrigne aux Bois,2
08206,Nouzonville,2
08207,Givet,2
08208,Rethel,2
08401,Sedan,4
08501,Charleville-Mézières,5
09101,Laroque-d'Olmes,1
09102,Montgailhard,1
09103,Mirepoix,1
09104,La Tour-du-Crieu,1
09105,Mazères,1
09106,Saverdun,1
09201,Tarascon-sur-Ariège,2
09202,Lavelanet,2
09203,Saint-Girons,2
09301,Foix,3
09401,Pamiers,4
10101,Marigny-le-Châtel,1
10102,Lusigny-sur-Barse,1
10103,Vendeuvre-sur-Barse,1
10104,Villenauxe-la-Grande,1
10105,Saint-Lyé,1
10106,Bar-sur-Seine,1
10107,Brienne-le-Château,1
10108,Arcis-sur-Aube,1
10109,Aix-Villemaur-Pâlis,1
10201,Bar-sur-Aube,2
10202,Nogent-sur-Seine,2
10301,Romilly-sur-Seine,3
10601,Troyes,6
11101,Argeliers,1
11102,Canet,1
11103,Palaja,1
11104,Ouveillan,1
11105,Pennautier,1
11106,Vinassan,1
11107,Sallèles-d'Aude,1
11108,Rieux-Minervois,1
11109,Bram,1
11110,Conques-sur-Orbiel,1
11111,Quillan,1
11112,Cuxac-d'Aude,1
11113,Saint-Nazaire-d'Aude,1
11114,Espéraza,1
11201,Gruissan,2
11202,Sigean,2
11203,Port-la-Nouvelle,2
11204,Trèbes,2
11205,Coursan,2
11206,Villemoustaussou,2
11207,Fleury,2
11301,Lézignan-Corbières,3
11302,Limoux,3
11303,Castelnaudary,3
11401,Carcassonne,4
11501,Narbonne,5
12101,Laissac-Sévérac l'Église,1
12102,Valady,1
12103,Baraqueville,1
12104,Sébazac-Concourès,1
12105,Sévérac d'Aveyron,1
12106,Capdenac-Gare,1
12201,Espalion,2
12202,Saint-Affrique,2
12301,Villefranche-de-Rouergue,3
12302,Decazeville,3
12401,Millau,4
12402,Rodez,4
13101,Saintes-Maries-de-la-Mer,1
13102,Orgon,1
13103,Mouriès,1
13104,Fontvieille,1
13105,Coudoux,1
13106,Meyrargues,1
13107,Maussane-les-Alpilles,1
13108,Rognes,1
13201,Cuges-les-Pins,2
13202,Le Rove,2
13203,La Roque-d'Anthéron,2
13204,Ensuès-la-Redonne,2
13205,Saint-Cannat,2
13206,Le Puy-Sainte-Réparade,2
13207,Carnoux-en-Provence,2
13208,Sénas,2
13209,Eyguières,2
13210,Port-Saint-Louis-du-Rhône,2
13211,La Fare-les-Oliviers,2
13212,Lançon-Provence,2
13213,Peyrolles-en-Provence,2
13214,Lambesc,2
13301,Cassis,3
13302,Saint-Rémy-de-Provence,3
13303,Mallemort,3
13304,Saint-Martin-de-Crau,3
13305,Sausset-les-Pins-Carry-le-Rouet,3
13501,Salon-de-Provence,5
14101,Potigny,1
14102,Mathieu,1
14103,Cairon,1
14104,Dozulé,1
14105,Louvigny,1
14106,Orbec,1
14107,Le Molay-Littry,1
14108,Évrecy,1
14109,Colleville-Montgomery,1
14110,Thury-Harcourt-le-Hom,1
14111,Villers-Bocage,1
14112,Troarn,1
14113,Frénouville,1
14114,Ranville,1
14115,Courseulles-sur-Mer,1
14116,Les Monts d'Aunay,1
14201,Douvres-la-Délivrande-Luc-sur-Mer,2
14202,Pont-l'Évêque,2
14203,Hermanville-sur-Mer,2
14204,Thue et Mue,2
14205,Livarot-Pays-d'Auge,2
14206,Saint-Martin-de-Fontenay,2
14207,Saint-Pierre-en-Auge,2
14208,Blainville-sur-Orne,2
14209,Falaise,2
14210,Argences,2
14211,Ouistreham,2
14212,Luc-sur-Mer,2
